EP_PlotID	Grazing	Mowing	Fertilization	Plant	Plant_SLA	Plant_N	Plant_P	Lichen	Moss	Arth_Herb	Arth_Omni	Arth_Pollin	Arth_Carniv	Arth_Decom	Below_Pred	Below_Decom	Fungi_Decom	Fungi_Pathog	Fungi_Symb	Fungi_Other	Protist_Bact	Protist_Euka	Protist_Omni	Protist_Paras	Bacteria	Soil_C	Soil_OrgC	Soil_N	Soil_P	Plant_Aerial_Biom	Plant_Root_Biom	Water_Recharge	Pot_Nitrification	Retention_N	Retention_P	Litter_Decomp	Root_Decomp	Dung_Removal	Seed_Removal	Herbivory_Rate	Mycorrhization_Rate	Parasitoid_Rate	Pollination_Rate	Pathogen_Rate	C_Flux	Nitrate_Flux	Ammonia_Flux
AEG11	0	2.895833333	1.869166667	30.72727273	3.245351047	2.041833333	0.2565	0	3	18.5	0	0.4	4.9	0.1	4	0	53	10	4	77.66666667	507.5	93	247.5	70	5048.5	4.314253863	62.61	92.62554762	53.91091783	282.5666667	1.756	624.688137	56.735	1845.028922	189.4918882	0.53333707	21.13333333	0.180313248	0.968	0.051997554	17.0612685	NA	NA	0.0003875	-0.416710637	-0.268673012	-0.64317098
AEG12	0	2.028333333	2.526666667	28.81818182	3.272666942	2.079166667	0.264333333	0	1	19.9	0	1.1	5.1	0.3	5	0	60.66666667	10.33333333	2.666666667	89	457	96.5	242	78	5462.5	5.64976474	67.54	115.1558356	20.71994252	341.5111111	1.842	572.2761804	909.492544	1661.258506	70.8347488	0.676885861	22.25	-0.063837586	0.552	0.009159884	NA	13	314	NA	0.260368198	-0.369351255	-0.075689223
AEG13	0	1.95	2.851666667	23.45454545	3.291369424	2.049333333	0.270833333	0	1	19.1	0	0.7	3.2	0.3	6	1	72	12.66666667	5.666666667	96.33333333	474.5	97	234	77	5219	5.102656994	68.43	115.1273925	39.1859169	374.3555556	4.43	534.3091236	576.759969	1150.727231	124.4987894	0.67873896	22.2	-0.16872393	0.744	0.005568369	15.258045	7	105	0.072015	-0.06634075	-0.275116948	-0.34134439
AEG14	0	1.875833333	4.500833333	26	3.225233682	2.274166667	0.264166667	0	4	16.375	0	0.75	3.25	0.125	3	1	65.33333333	10.66666667	5.666666667	83.33333333	496	105	262	79	5687.5	3.692424873	61.27	113.3586392	44.78021743	217.9333333	1.112	629.5193036	558.879848	1700.069766	170.7914639	0.689647215	22.1	0.253956032	0.87	0.027226314	NA	NA	475	NA	0.380246772	-0.194286479	0.059927244
AEG15	0	2.8125	6.160833333	26.18181818	3.26352629	2.101	0.274	0	1	21.4	0.2	0.6	3.1	0.3	8	1	52.33333333	8	3.333333333	61.66666667	417	86	206.5	67.5	5502.5	3.534994974	63.62	91.24618688	64.76378868	254.0666667	3.166	686.3921858	254.8133471	1934.066667	133.8332509	0.61742294	32.73333333	-0.192874912	0.48	0.002310011	NA	NA	200	0.0001515	-0.346041964	-0.084855302	0.179348423
AEG16	0.903333333	1.170833333	0.921666667	30.1	3.233105104	2.209833333	0.288166667	0	0	9.666666667	0	0.444444444	2.666666667	0.111111111	7	0	66.33333333	11.33333333	5	71.66666667	482.5	97.5	250.5	86	5393.5	4.085371034	59.98	115.3888344	51.19356104	205.01875	0.646	587.1943844	544.2284242	1827.821011	183.2190496	0.692124413	22.63333333	0.342587723	0.52	0.010479206	18.37900875	NA	362	0.05916	0.262747151	-0.224333783	0.257670105
AEG17	0	2.099166667	1.759166667	37	3.185912014	2.034666667	0.2325	0	2	21.2	0	1.2	4.2	0.4	6	0	55.66666667	8.333333333	1.666666667	83.33333333	433	78	212	73	5758.5	4.858141348	64.68	122.2242555	45.4129074	153.1944444	0.366	684.4379799	380.5918156	1978.166724	170.9850235	0.669691225	24.93333333	0.162799163	0.232	0.011202383	15.9515925	NA	430	0.0090074	-0.283129745	-0.19631201	-0.524117529
AEG18	0	2.494166667	5.006666667	24.63636364	3.294897921	2.087	0.273333333	0	1	11.6	0	0.5	3.7	0.1	3	2	50	11.33333333	4.666666667	64.66666667	423	76	192.5	72.5	5083.5	4.054754796	62.14	135.5287026	37.16095204	311.4611111	0.156	661.6744233	780.6146059	1388.916667	53.84699032	0.68747512	16.83333333	0.557052211	0.064	NA	16.15965675	3	451	0.00808	0.021200783	-0.40151914	-0.327244246
AEG19	2.709166667	0.621666667	1.161666667	22.54545455	3.32021157	2.181666667	0.267833333	0	1	17.1	0.1	0.6	4.5	0.1	6	0	67.33333333	12	4	87	503.5	104.5	248.5	74	5148.5	5.034105833	77.67	138.3747844	71.61230081	239.7111111	0.886	526.0111246	330.9787652	1587.195089	170.8644003	0.686386121	19.5	0.579288321	0.672	0.00967883	NA	20	NA	0	0.760758739	-0.204554041	2.799518102
AEG20	1.5425	0	0.135833333	26	3.307581478	1.86475	0.266083333	0	2	17.55555556	0	1	3.555555556	0.333333333	5	2	68.66666667	11.66666667	8.666666667	87.33333333	488.5	113.5	261	80	6193.5	4.735714649	80.41	192.468806	46.03034224	223.2111111	0.476	631.1087596	923.3953085	1940.6	183.8079988	0.658662434	22.334	-0.0311333	0.984	0.016612895	17.40804225	3	172	0.00077275	0.051789763	-0.378962275	2.25778525
AEG21	6.1275	0.475	3.6375	25.18181818	3.309641161	2.249	0.294666667	0	1	14.4	0	0.7	3.3	0.6	5	0	73	12.66666667	5.666666667	97.33333333	458	98.5	233.5	72.5	5129	5.32144113	67.42	130.0086002	82.63663365	285.4555556	0.516	573.1294913	423.3490442	1547.716667	148.2804357	0.626199247	20.36666667	0.047327461	0.706666667	0.012933234	20.251587	NA	NA	2.00E-05	0.56465352	-0.39054734	1.103695504
AEG22	0.23	1.016666667	0.283333333	44.45454545	3.034977317	1.805333333	0.165333333	0	2	17.3	0	1.8	3.1	0.4	5	1	52.33333333	6	1.666666667	63	442	81.5	217	64.5	3728.5	3.709631627	53.56	69.4825628	43.12015471	168.5833333	0.71	734.2659565	4.708353036	1960.066667	174.8370456	0.491957353	25.5	0.494210452	0.232	0.003667344	16.090302	3	572	0.0014687	-0.665326246	-0.006451255	-0.930014634
AEG23	0	1.794166667	0.435833333	29.54545455	3.212888459	2.1365	0.266666667	0	1	18	0	0.888888889	3.333333333	0.333333333	3	0	51	8.333333333	5.333333333	67	382	87.5	205.5	72	5974	4.981768149	80.28	175.558799	51.14568106	262.05	0.986	723.138605	1082.757405	1946.297945	187.0676943	0.652735233	37.889	0.098565177	0.392	0.008336039	13.7322405	NA	NA	0.000535	0.13057677	-1.046842429	0.27900065
AEG24	0.956666667	2.1075	3.116666667	22.54545455	3.277657023	2.494	0.328666667	0	2	16.3	0.2	0.9	3.1	0.7	6	1	50.66666667	8.333333333	4.333333333	54.66666667	502	105.5	261.5	80	5397	4.88085648	80.23	136.0890616	35.07644317	294.9111111	0.486	620.3423603	678.8056346	1797.850705	141.1230417	0.649868268	24.8	0.462601169	0.36	0.008717456	24.8290005	NA	339	0.00025	1.292301968	-0.265273256	0.185334393
AEG25	0.419166667	0	0	52.18181818	2.939946464	1.995333333	0.120833333	22	14	21	0.1	0.8	4	0.2	4	1	56	5.333333333	4	87	457	72	250.5	38	5233	3.763827013	82.13	148.9953953	44.09031662	72.75555556	0.29	592.5676742	384.1965761	1974.9164	191.0914504	0.550705293	18.73333333	-0.206603594	0.264	0.003536189	19.21126575	26	276	1.26E-05	-0.890244363	0.014092907	-0.652494405
AEG26	2.021666667	0	0	46.90909091	2.974721934	1.7375	0.128833333	12	10	18.7	0	0.6	3.1	0.2	4	1	49	2	5.333333333	79.33333333	366.5	67.5	224.5	36.5	4264	3.245653566	69.42	79.80063617	43.46204666	88.08888889	0.776	509.1297556	123.6499524	2008.3	189.7092728	0.544525077	NA	0.411760869	1	0.012652279	14.2870785	67	470	1.53E-05	-0.98111596	-0.023671956	-0.702611427
AEG27	1.216666667	0	0	47.81818182	2.994181639	1.649333333	0.145166667	4	8	16.5	0	0.8	3.2	0	3	1	55	4.333333333	3.666666667	75	501.5	78	276.5	36.5	4609	2.841594162	89.47	97.36114508	64.82405345	91.91111111	1.186	735.9857659	261.6998158	1738.286544	186.7812717	0.59125671	39.56	1.041972351	0.344	0.026515911	29.05964025	19	656	0.002582	0.063587825	0.170174884	-0.604123274
AEG28	0.820833333	0	0	54.18181818	3.099148696	1.891666667	0.197666667	5	8	18.8	0	0.9	3.5	0.2	5	0	47	7.666666667	2.666666667	63	492	96.5	246	63.5	4486	3.433674153	54.04	90.29285156	48.73758035	119.8888889	0.616	669.4920668	63.86698861	1977.491955	163.9650398	0.654625489	NA	0.573125099	0.6	0.003920498	13.593531	NA	203	0.000339	-0.600696124	-0.01244743	-0.708173869
AEG29	0.7975	0.9375	1.424166667	39.90909091	3.142139653	2.015333333	0.179	0	0	23.7	0.1	1.6	5.3	0	5	1	71.66666667	8.666666667	3	111.3333333	527	108	285.5	56.5	5280.5	4.472460352	53.37	89.95058909	37.79611704	100.45	1.096	579.4805142	150.3605136	1981.28731	184.910743	0.628930997	23.66666667	-0.228333296	0.34	0.005417827	NA	NA	NA	0.00021275	-1.09759031	-0.145965657	-0.60453042
AEG30	1.199166667	0.788333333	0	37.72727273	3.131226663	2.128166667	0.2335	0	8	21.9	0.1	1.2	4.1	0.1	4	1	66.33333333	13.33333333	5.666666667	90	461.5	86	252.5	54.5	5665	4.938224715	64.96	131.9612347	62.38327525	239.7333333	0.776	731.8277778	788.8176819	1978.766667	68.38823404	0.665041776	23.05	-0.267052792	0.93	0.016561257	12.0677265	NA	104	0.00056975	-0.143853453	-0.449800937	-0.397764991
AEG31	1.045833333	0.633333333	0	38.90909091	3.110881397	1.971333333	0.183833333	0	5	20.3	0	1.6	2.3	0	7	3	61.66666667	11	3.333333333	76.66666667	416	76.5	222.5	49	5512	4.528235033	69.63	117.1356651	46.97855455	179.5611111	2.312	665.2098002	718.7085572	1896.3	187.1896639	0.51948458	23.26666667	-0.291972462	0.88	0.003545601	16.29836625	NA	92	7.80E-05	-0.196487876	-0.335234458	-0.372290768
AEG32	0.479166667	0	0	33.27272727	3.0135524	1.710333333	0.179	0	2	24.1	0.1	0.7	4.2	0.1	5	0	47.66666667	4.333333333	2.333333333	74	487	94	261.5	63	4883	3.03746206	41.79	49.39505998	32.60166335	158.5111111	0.846	646.4566558	11.08891601	2004.082621	164.8262077	0.697335463	27.16666667	0.525625061	0.232	0.015321462	19.48868475	25	133	0.045535	-1.081262648	0.222574539	-0.810594495
AEG33	1.128333333	0	0	39.90909091	3.102575211	1.748666667	0.190166667	0	2	25.6	0	0.8	3.4	0	5	0	42.33333333	3.666666667	2	72.33333333	378	64.5	191	42	4609	3.418584375	48.93	69.17125311	26.04346197	152.3166667	0.356	695.4125382	29.79118089	2005.933333	158.0424332	0.627156217	26.46666667	-0.217677312	0.176	0.014486247	10.88869575	8	217	4.78E-05	-0.76414637	-0.052131717	-0.866016209
AEG34	0.9875	0.471666667	0	32.18181818	3.221345348	1.962166667	0.2565	0	5	17.3	0	0.5	4.1	0	4	0	37.66666667	6.333333333	2.333333333	41.66666667	421.5	67.5	212.5	61	4166	3.404129068	45.9	84.05350975	30.88995675	177.1888889	0.676	744.8706752	109.0668207	1935.83671	142.5208266	0.676095714	17.5	0.311509564	0.712	0.00884955	NA	4	146	5.30E-05	-0.776711436	-0.054314542	-0.303790982
AEG35	0	2.108333333	1.800833333	23.72727273	3.289830255	2.042333333	0.2455	0	1	16.1	0.1	0.5	4.7	0.1	6	0	51.66666667	7.333333333	2.333333333	67.66666667	431.5	86	223	67	4792.5	3.396197278	39.54	76.27870553	55.62262025	263.7722222	0.96	613.8327762	67.25575603	1865.877037	138.0444334	0.625922801	28.43333333	0.063814987	0.208	0.006755132	NA	NA	NA	0.00074	-0.727684348	-0.114739264	-0.777865532
AEG36	0.015833333	2.03	1.9175	25.72727273	3.252525209	2.2205	0.259333333	0	1	16.6	0	0.3	3.4	0.4	6	1	62.33333333	10.33333333	3.333333333	74	457.5	80.5	240	65.5	4910	3.760049967	53.33	125.7302272	45.75994892	257.7166667	0.106	696.307803	365.7543299	1828.212826	147.2473302	0.661543964	21.76666667	-0.166510688	1	0.007354955	NA	NA	NA	2.50E-06	-0.690976065	-0.10856524	-0.420003729
AEG37	0.043333333	1.954166667	2.295833333	24.90909091	3.317021858	2.24	0.291	0	1	18.7	0.1	1.2	3.2	0.1	6	0	83.66666667	15.33333333	5.666666667	112.3333333	383.5	70.5	191.5	67	5111.5	5.102548243	63	109.2551901	45.39996158	425.99375	0.176	535.0003901	659.1311607	1525.003093	41.57055165	0.765513694	27.76666667	-0.286713592	1	0.007569613	15.82365655	11	17	0.00014	1.024575487	0.32362558	1.072762658
AEG38	0	1.875833333	0.44	29.36363636	3.20019387	1.773	0.2174	0	2	26.22222222	0	0.777777778	5	0	6	0	54	7.333333333	4	84	411	79.5	234.5	56.5	4842	3.746192098	49.45	98.35181592	62.24175643	197.15	1.346	622.6375671	142.3357306	2011.766667	180.4834301	0.628632178	16.76666667	0.035655766	0.472	0.015369127	21.21843342	18	NA	0.000606075	-0.635374167	-0.134689085	-0.676711034
AEG39	0	1.954166667	2.324166667	21.45454545	3.342824646	2.123333333	0.297166667	0	1	15.4	0	0.8	3.8	0.2	5	0	75.33333333	10.66666667	4	81	409.5	72	203	63	4915	NA	66.09	89.2130609	61.00799788	419.6111111	0.846	515.0833321	489.7376981	1472.1	121.2262465	0.695043026	22.83333333	-0.29453264	1	0.003579752	NA	34	46	2.50E-05	0.196192586	0.055905906	0.026087442
AEG40	0.195	2.27	2.176666667	33.54545455	3.193530732	2.164333333	0.257166667	0	4	19.7	0.2	1.4	3.4	0.4	5	0	40.66666667	7.666666667	2	60.33333333	400	74.5	220	63.5	4922.5	3.351221747	68.34	162.1132314	69.57648126	163.6277778	0.226	714.6405891	647.5622766	1875.708993	176.3001776	0.767499399	NA	0.17309124	0.41	0.006339577	16.99191375	1	261	0.00056	1.200226653	-0.711519597	0.982517495
AEG41	0.0475	2.270833333	4.739166667	25.54545455	3.311585264	2.081	0.267166667	0	1	10.3	0	0.7	3.5	0.4	5	0	61.33333333	10.66666667	5.333333333	76.66666667	461.5	95	231	73.5	5576	3.724649209	44.28	83.86629767	25.8791712	287.5944444	0.956	545.151806	236.3919843	1845.514107	166.7626325	0.633264801	16.83333333	0.048114242	1	0.006160443	21.56932725	22	48	NA	-0.471481051	0.15474163	-0.447421266
AEG42	1.161666667	1.560833333	2.040833333	24.6	3.256880221	2.542	0.281166667	0	1	22.7	0.1	1.5	5.1	0.4	8	1	77.33333333	12	7.666666667	106	416.5	81	233	73	5997	5.457070766	83.13	215.6340406	56.24861306	179.2	1.436	518.2204599	1315.169628	1902.655166	178.5411889	0.669321169	14.53333333	-0.157823756	0.728	0.011312927	NA	17	338	4.50E-05	0.471649225	-1.541765436	0.29635214
AEG43	0.918333333	0.855833333	0.818333333	25.8	3.322535586	2.193333333	0.251166667	0	2	23.8	0.1	1.2	5.5	0.6	6	0	63.33333333	11	3.333333333	92	452	89.5	248.5	73.5	5430.5	3.966491804	72.57	140.7695108	52.22599209	203.3055556	0.376	740.8405004	1154.296834	1777.917816	153.8665446	0.844607979	18.7	0.544755619	0.488	0.002129002	NA	NA	263	0.000895	0.216374371	-0.577507113	0.542511142
AEG44	2.470833333	0	0	29.90909091	3.221504672	2.150083333	0.220833333	0	4	19.9	0	0.7	2.6	0	6	2	58.66666667	8.666666667	2	77.66666667	419	82	234.5	64.5	4921	4.928157584	64.01	174.2678181	59.09807802	155.2444444	1.806	604.4971591	983.6803451	1972.3	174.501584	0.696373629	NA	0.194429238	0.696	0.004881975	NA	NA	NA	0.00135025	0.448521756	-0.41211859	-0.419256735
AEG45	0	2.273333333	0.555	23.81818182	3.33891383	1.993833333	0.281333333	0	1	12.55555556	0	0.777777778	3.666666667	0.444444444	2	0	99	19.33333333	12.66666667	117	447.5	88.5	226	70.5	4700.5	4.843247108	54.86	96.43490811	56.69817007	326.6	0.416	575.4350977	108.1883532	1874.166667	175.5228142	0.65080738	12.96666667	0.412836658	0.352	0.013665943	19.5580395	NA	338	0.00014	-0.627417377	-0.04521031	-0.349275027
AEG46	2.438333333	0	0	30	3.271628188	2.1185	0.294166667	1	2	17.4	0.2	0.8	4.2	0.3	7	0	64.66666667	12.33333333	5.666666667	82.33333333	468	95	253	70	5375.5	3.498860539	71.68	123.8066107	69.95825724	272.0944444	1.076	529.919403	539.193823	1731.266667	147.7378224	0.631593869	24.63333333	-0.28756194	0.41	0.019311922	16.42966893	13	83	NA	0.354489531	-0.157184186	0.496340713
AEG47	0.6875	0	0	44.45454545	2.934900438	1.602333333	0.13	21	13	17.4	0	0.6	2.4	0.2	1	0	36	3.666666667	5.666666667	68.33333333	296.5	61	158	30	4763.5	4.005265955	59.05	113.4213252	47.78778729	75.42222222	2.986	567.0765955	184.8202983	1982.094426	187.5947715	0.454103747	27.83333333	-0.096426818	0.568	0.015870048	23.52621912	3	259	3.35E-05	-0.787991682	-0.030646402	-0.697671885
AEG48	0.4325	0	0	40.81818182	2.982251471	1.604666667	0.109833333	25	9	12	0	0.4	3	0	4	0	31.66666667	4.333333333	6.333333333	67.66666667	296	63.5	188.5	38	4142	1.688504524	43.39	52.46812637	26.76103645	30.41111111	1.046	742.4968896	92.82189138	2009.428261	190.8284318	0.508735985	37.56666667	0.022184492	1	0.021613307	21.29190825	20	460	0.0010605	-1.21002797	-0.016234399	-0.730934654
AEG49	0.965833333	0	0	36.27272727	3.065964366	1.7744	0.202	0	1	21	0	0.333333333	3.444444444	0.111111111	6	1	55.33333333	8.666666667	3	72.66666667	514	77	266.5	57.5	5089	3.016249965	49.87	67.37997281	41.7535973	165.5722222	0.846	682.3567222	111.3276775	1980.033333	179.4398233	0.502919618	NA	-0.068325679	0.152	0.005273397	NA	NA	136	0.00013425	-1.048229677	-0.054960755	-0.803446262
AEG50	0	2.033333333	1.688333333	21.4	3.301873023	2.027833333	0.287	0	0	16.125	0.25	0.75	3.625	0	5	1	76.66666667	13	7.666666667	95.66666667	433.5	99	225.5	73.5	4884.5	5.00879465	68.68	107.0397673	45.45100156	350.8777778	1.146	580.2774969	317.6744026	1779.642202	139.1381574	0.512088467	21.43333333	1.057393967	0.864	0.011263453	21.98545575	NA	NA	0.01950925	-0.40449091	-0.21907227	-0.130415044
HEG01	0.2975	2.183333333	5.508333333	16.36363636	3.263228129	2.194	0.315333333	0	1	9	0	0.5	3.3	0.7	5	1	42	8	1.666666667	47	343.5	73.5	163.5	55	4813.5	3.655824488	54.02	123.3636345	29.9009379	266.7703704	5.853	442.4561322	1067.131767	1822.666667	179.8861954	0.487335313	22.967	-0.255382086	0.296	0.004543642	NA	17	NA	0.0050764	1.104848821	-0.795000841	1.395319378
HEG02	0.106666667	2.105	3.2975	19.63636364	3.208662243	1.886388889	0.282055556	0	3	10.3	0	0.7	5	1	8	0	62.66666667	17.66666667	10	90.66666667	293.5	63	122.5	55.5	4442.5	2.539059809	35.08	87.04473626	25.56031373	228.9518519	3.112	390.6700775	711.5011065	1908.833333	171.5840923	0.704737808	16.267	-0.020661097	0.936	0.01385913	15.32739975	12	235	0.010978	-0.30512006	-0.660330957	0.061459355
HEG03	0.12	2.565833333	3.845833333	18.63636364	3.226964986	1.899166667	0.279	0	5	10.4	0	0.5	3.1	0.7	4	0	41.33333333	10	3.666666667	55.66666667	334	75	136	62	4342.5	2.406542409	33.29	84.26535629	17.81277944	235.5388889	4.733	361.8767907	824.8541886	1429.3	177.0808627	0.56181737	11.733	-0.044141926	0.592	0.010159031	16.5064305	17	NA	0.00708475	0.631966424	-0.571521885	0.240862681
HEG04	0.641666667	1.79	2.8275	14.2	3.208902254	2.273333333	0.3155	0	1	11.5	0	0.6	4.1	0.8	4	0	53.66666667	11	2	67	383	86.5	193	67	5713.5	4.496288162	64.72	148.9520085	41.21030676	409.9851852	11.013	463.2928912	531.9647222	1775.866667	125.3464232	0.458218273	25.6	0.024737606	0.544	NA	NA	10	NA	0.078851	1.047029029	-1.04597567	1.485786233
HEG05	0.7825	2.259166667	3.18	23.11111111	3.199765719	2.291166667	0.255666667	0	1	6.555555556	0	0.666666667	3.555555556	0.5	6	0	46	9.666666667	2	53.66666667	346	71.5	152.5	59	4442	4.01696579	43.6	113.9765554	60.24841884	163.6888889	5.896	540.1196436	1151.68121	954.6	159.3718298	0.525743437	14.8	0.461788107	1	0.010821987	23.51126025	1	29	0.018589925	-0.098671336	-0.93261131	1.313877146
HEG06	0.360833333	1.4725	2.3625	26.81818182	3.188744543	1.932166667	0.266	0	1	9.4	0	1.2	4.3	1	4	1	52.33333333	10	2.666666667	60.66666667	379.5	87	189	59	4715.5	NA	20.77	37.03280286	30.16063651	291.4296296	4.509	467.2131325	170.5911276	1964.733333	131.6118805	0.501276446	15.4	0.419654723	0.64	0.007135902	NA	13	531	0.0384605	-0.701925818	0.02259482	-0.621175043
HEG07	2.580833333	0.3175	0.23	35.09090909	3.189525931	2.148666667	0.269333333	0	1	9.4	0	0.8	4.5	0.6	4	1	38.33333333	10	1	59.66666667	323.5	67	150	62	4138	NA	55.48	129.8183228	49.05499916	182.9148148	8.646	394.3216408	730.1353623	1919.133333	137.8184328	0.546516633	17.1	0.254759074	0.832	0.005332229	21.361263	3	178	0.076554	0.215251762	-0.537973792	1.429927821
HEG08	1.734166667	0.24	0.23	32.18181818	3.231583814	1.7805	0.2615	0	1	17.2	0	2.4	6.8	1.7	6	1	73.66666667	16	5.666666667	94.33333333	378	83	179.5	70	4458.5	4.150756289	57.04	150.916868	52.74459524	203.6296296	10.699	423.4172603	670.1425516	1971.766667	168.9764576	0.499507152	26.833	0.230052705	0.56	0.020790097	22.748358	18	164	7.38E-05	1.348993573	-0.787915071	1.812750225
HEG09	0.555	0.0775	0	57.27272727	3.095836362	2.119333333	0.2305	0	7	17.33333333	0.4	1.9	6.3	0.7	7	0	43.33333333	5.666666667	1.333333333	61.66666667	435.5	90.5	240	57.5	4450.5	3.393127467	41.11	74.78819995	44.79420311	128.7020833	8.505	491.0572908	77.92172874	1993.6	185.3045501	0.497028171	22.033	0.458527608	0.808	0.016829236	19.696749	30	492	0.0010516	-0.58346265	-0.126187015	-0.648019131
HEG10	0.213333333	1.089166667	1.623333333	30	3.25912889	1.759666667	0.254	0	1	14.5	0	1.6	5.9	1.2	3	2	38.66666667	7	1.333333333	51.33333333	401.5	84	206.5	63	4101	3.525547166	43.74	79.79280058	50.01197511	196.4981481	6.703	409.6793933	237.8626894	1970.033333	165.1615924	0.382970561	20.9	-0.140184743	0.8	0.014928935	NA	NA	215	0.0029847	-0.269287196	-0.008944613	-0.29042046
